,FPR (95% TPR),Detection Error,AUROC,AUPR In,AUPR Out
TinyImageNet (Crop),0.1885,0.0887,0.9674477600000001,0.9542307411426657,0.9781858192769424
TinyImageNet (Resize),0.224951584955662,0.10008212210783815,0.9599525022933443,0.9418094685342937,0.9737414111145449
LSUN (Crop),0.1494,0.08159999999999999,0.9743778200000001,0.9611026956794059,0.9854033305552765
LSUN (Resize),0.2075,0.09415,0.9631988400000001,0.9478601582751008,0.9745667494249377
iSUN,0.2276750700280112,0.0967952380952381,0.9619249523809524,0.9509304060708171,0.9710913630109766
DTD,0.38882978723404255,0.16081063829787234,0.9174376241134753,0.9131276015396066,0.9211408179699737
Stanford Dogs,0.9449438748238496,0.33710822197385687,0.6881859857135916,0.47484860374734783,0.8616350867047103
food,0.8466687129320672,0.25838619562957316,0.7976575581452915,0.4252754648611412,0.981340707203086
CUB,0.7811544991511036,0.26124617996604416,0.8060592529711375,0.724096017268233,0.8786685143245043
Calt,0.8171608414775551,0.31234431008779195,0.7427550438959748,0.2050455760852859,0.9663464074777316
places,0.7704071826693392,0.25715706048708165,0.8097660470607616,0.47876823815835845,0.9579821677270962
SVHN,0.11946834665027659,0.08194618930547018,0.975432283343577,0.9041399934562186,0.9949810272374883
Cifar10,0.9132,0.3535,0.6771458800000001,0.6848841626651636,0.6220260051516303
All,0.6690180792571818,0.2570563641837398,0.8225419917288587,0.11981114110283275,0.9959902020001674
